## AUDIT: ai therapist → Therapy
2. YES  # users distressed without their ai therapist
4. NO  # AI secretary speculation, no therapy framing
6. YES  # author wanting to talk to their ai therapist
8. YES  # needs ai therapist after doctor visit
10. YES  # references ai therapist traumadump era of replika
12. YES  # discusses trauma surfacing with AI Therapist bot
14. YES  # c.ai therapist helped when real help unavailable
16. YES  # creating an AI therapist bot for mental health
18. YES  # personal AI therapist Papa in Kindroid
20. YES  # using bots for therapeutic insights
22. YES  # ongoing use of character ai therapist
24. YES  # author's own ai therapist interaction
26. YES  # wanted to talk to AI therapist
28. YES  # therapeutic chat improved their mood
30. NO  # feature requests, therapist mentioned in passing
32. YES  # asking which char to use as ai therapist
34. NO  # hotline rant, no AI therapy framing
36. YES  # ai therapist is only one who listens
38. YES  # addressed addiction with AI Therapist
40. YES  # taking ch.ai therapist advice seriously
AGREEMENT_CHECK: classified 20 posts

## AUDIT: as a therapist → Therapy
3. NO  # Comparing Dot to therapist warmth, not AI therapy use
6. NO  # Replika relationship drama, no therapeutic framing
9. NO  # Complaint that AI acts like therapist instead of RP partner
12. NO  # Backstory edit for lover RP, rejects therapist framing
15. YES  # Grief/mourning over AI loss, psychological processing
18. NO  # Bot prompt guide for NSFW chats, no therapy theme
21. NO  # Bot memory/premium guide, no therapy framing
24. YES  # Call for testimonies on CAI as therapist
27. NO  # Meta-rant about kids on c.ai, no personal therapy use
30. YES  # Engages with risks of AI as therapist substantively
33. YES  # Discusses AI-as-therapist meme within companion community
36. YES  # Author using ChatGPT as therapist/life coach/gf
39. NO  # Ironic rejection: "shouldn't use bot as therapist"
42. NO  # Sub moderation poll, no therapy content
45. YES  # Treated AI as therapist for years before NSFW switch
48. YES  # Psychological harm from model switching, therapeutic stakes
51. NO  # Complaint that ChatGPT acts as therapist, rejects it
54. YES  # Asks about people using ChatGPT as therapist/companion
57. YES  # Observation about people using AI as therapist, grief
60. YES  # Personal use of ChatGPT for psychological analysis/processing
AGREEMENT_CHECK: classified 20 posts

## AUDIT: therapeutic → Therapy
5. NO  # podcast summary, no personal therapy stake
10. YES  # anxiety/coping use of AI companion
15. YES  # title frames AI as therapeutic, doubt resolves YES
20. NO  # ERP policy debate, not therapy framing
25. YES  # personally calls bot most therapeutic
30. NO  # argues bots are just code, no therapy
35. YES  # AI companion personally therapeutic
40. NO  # bot listing/metrics post
45. NO  # AI dating dynamics, no therapy framing
50. YES  # therapeutic AI relationships as topic
55. NO  # AI rights charter, no therapeutic frame
60. YES  # therapeutic relationships listed as sub scope
65. YES  # defends AI as therapeutic substitute
70. NO  # memory collage, romance not therapy
75. YES  # AI restricted from mental health discussion
80. YES  # critiques AI's therapeutic comfort framing
85. NO  # OpenAI timeline, meta news only
90. YES  # title directly about AI therapy framework
95. YES  # 4o helped overcome trauma after years of therapy
100. YES  # 4o as therapeutic lifeline for mental struggles
AGREEMENT_CHECK: classified 20 posts

## AUDIT: for therapy → Therapy
5. YES  # Replika as emotional support friend
10. NO  # User rejects therapist framing, wants friend
15. YES  # Rogerian therapist for trauma exploration
20. YES  # AI framed as therapy substitute
25. NO  # About account safety, not therapy use
30. YES  # C.ai as therapy substitute, can't afford
35. YES  # Direct AI-for-therapy interview solicitation
40. YES  # Wants c.ai for therapy use
45. YES  # ChatGPT for therapy talk, venting
50. NO  # Daily routine help, not therapy-framed
55. YES  # AI for mental health venting support
60. YES  # Integrating AI relationship with therapy
65. NO  # Companion rationale, not therapy-framed
70. NO  # Bot character is psychiatrist, not author use
75. YES  # Private AI venting space promo
80. YES  # ChatGPT for anxiety, panic attacks
85. YES  # Venting to chat for emotional support
90. NO  # Ironic rejection of AI therapy
95. YES  # Bad experience using Cai for therapy
100. NO  # Addiction withdrawal, not therapy framing
AGREEMENT_CHECK: classified 20 posts

## AUDIT: emotional support → Therapy
5. YES  # using app for mental support/venting
10. YES  # AI users' emotional support group
15. NO  # joke about server downtime
20. YES  # CharacterAI used for consolation/emotional support
